HBL — Raw Bank Statement,,,,,,,,,,,,,
Account title,Truck It In (Private) Limited,,,,Opening balance,"3,250,000",,,,,,,
19-Jul-2025,19-Jul-2025,IBFT CR - Onic distribution collection Batch 0719,HBL250719025,,"520,000","4,257,355",Credit,,,Customer Collections,,,
21-Jul-2025,21-Jul-2025,Transfer to Meezan Bank payroll account,HBL250721026,"550,000",,"3,707,355",Debit,,,Contra,,,
22-Jul-2025,22-Jul-2025,Online transfer - Insurance premium - EFU General,HBL250722027,"180,000",,"3,527,355",Debit,,,Insurance,,,
23-Jul-2025,23-Jul-2025,IBFT CR - COD settlement - Retail merchant pool,HBL250723028,,"389,450","3,916,805",Credit,,,Customer Collections,,,
24-Jul-2025,24-Jul-2025,Card 8821 - AWS cloud services,HBL250724029,"72,600",,"3,844,205",Debit,,,Tech,,,
25-Jul-2025,25-Jul-2025,Cheque return charges - customer cheque 77891,HBL250725030,"1,500",,"3,842,705",Debit,,,Bank Charges,,,
28-Jul-2025,28-Jul-2025,IBFT CR - Customer cheque 77891 redeposited,HBL250728031,,"265,000","4,107,705",Credit,,,Customer Collections,,,
29-Jul-2025,29-Jul-2025,Online transfer - Legal and professional fee,HBL250729032,"125,000",,"3,982,705",Debit,,,Professional Services,,,
30-Jul-2025,30-Jul-2025,Profit credited on current-plus account,HBL250730033,,"18,450","4,001,155",Credit,,,Profit,,,
31-Jul-2025,31-Jul-2025,Zakat deduction on profit account,HBL250731034,461,,"4,000,694",Debit,,,WHT Profit,,,
31-Jul-2025,31-Jul-2025,Advance tax on bank profit,HBL250731035,"2,768",,"3,997,926",Debit,,,WHT Profit,,,
